dataset,input_dim,replicate,width,level_type,threshold,eligible_models,pairs,sampled_gap_max,sampled_gap_median,path_upper_max,path_upper_q90,direct_upper_max,proof_upper_max,proof_upper_q90,certificate_width_max,certified_success_rate,unresolved_segments
ridge_teacher_binary,1,0,8,fixed,0.5961500282892952,8,3,7.916543322994407e-06,7.4654961710329815e-06,2.1618042335691534e-05,2.1267243530265213e-05,0.027173721358272118,0.08253067071888986,0.08252819500056777,1.3701499012697127e-05,0.0,165
ridge_teacher_binary,1,0,8,moving,0.6010513190066379,8,3,2.7686212111799335e-06,0.0,9.45467525637067e-06,8.564176067626939e-06,0.04144801226023931,0.0,0.0,0.00015280191949940125,1.0,0
ridge_teacher_binary,1,0,16,fixed,0.5961500282892952,8,3,9.956820929302168e-06,8.690173061598472e-06,3.563599758182878e-05,3.432259290678807e-05,0.04213439587796486,0.0,0.0,2.694582452023031e-05,0.0,272
ridge_teacher_binary,1,0,16,moving,0.599615762526353,8,3,0.0,0.0,2.1890080417530378e-05,1.8697863147765228e-05,0.05981261612508981,0.0,0.0,5.164299543580775e-05,0.6666666666666666,3
ridge_teacher_binary,1,0,32,fixed,0.5961500282892952,8,3,8.603019453268246e-06,7.975268756621468e-06,3.980027873251579e-05,3.8270064887102606e-05,0.0514718612504379,0.0,0.0,3.119725927924755e-05,0.0,350
ridge_teacher_binary,1,0,32,moving,0.5986006723948069,8,3,0.0,0.0,8.96570048747325e-06,8.694293033140178e-06,0.030728137873947237,0.0,0.0,0.0001196282415785177,1.0,0
ridge_teacher_binary,1,0,64,fixed,0.5961500282892952,8,3,9.334333589183785e-06,8.24193230086756e-06,2.7327633831175646e-05,2.6651424633872267e-05,0.03290081013546764,0.0,0.0,1.799330024199186e-05,0.0,369
ridge_teacher_binary,1,0,64,moving,0.5978828927430196,8,3,0.0,0.0,7.892900425021665e-06,7.835704734748816e-06,0.03069738221414986,0.0,0.0,9.4817124043578e-05,1.0,0
ridge_teacher_binary,1,0,128,fixed,0.5961500282892952,8,3,9.618411863976384e-06,9.471547964490235e-06,2.9612991850558323e-05,2.940510345461611e-05,0.034269288768621564,0.0,0.0,2.132343239502621e-05,0.0,384
ridge_teacher_binary,1,0,128,moving,0.597375345967672,8,3,5.510711757361619e-06,1.395241544299708e-06,2.9255151646756516e-05,2.832427831576112e-05,0.03491333226477156,0.0,0.0,2.3744439889394897e-05,0.0,29
ridge_teacher_binary,1,1,8,fixed,0.5961500282892952,8,3,9.98353728609569e-06,8.982952659608578e-06,3.836120126565756e-05,3.485030117436061e-05,0.061663633117169825,0.08252238153312053,0.08252234895455593,2.9378248606048984e-05,0.0,243
ridge_teacher_binary,1,1,8,moving,0.6010513190066379,8,3,0.0,0.0,2.22963428909706e-05,2.161266962998898e-05,0.05676234239982714,0.0,0.0,2.5510382762772288e-05,0.3333333333333333,4
ridge_teacher_binary,1,1,16,fixed,0.5961500282892952,8,3,9.004580609373036e-06,7.925470132952306e-06,3.166271179211311e-05,2.9235640601266156e-05,0.04844941985342144,0.0,0.0,2.265813118274007e-05,0.0,247
ridge_teacher_binary,1,1,16,moving,0.599615762526353,8,3,0.0,0.0,1.4205834788949545e-05,1.2879334252668961e-05,0.04667877198792758,0.0,0.0,2.6728243881279923e-05,0.6666666666666666,4
ridge_teacher_binary,1,1,32,fixed,0.5961500282892952,8,3,9.285502257871947e-06,9.06443323323014e-06,2.4141379677988795e-05,2.3767225959447914e-05,0.032883954353012834,4.247973528492821e-09,3.398378822794257e-09,1.769586372646348e-05,0.0,321
ridge_teacher_binary,1,1,32,moving,0.5986006723948069,8,3,0.0,0.0,1.818377559470452e-05,1.639984436954123e-05,0.030795721823006494,0.0,0.0,0.00024711633897978036,0.6666666666666666,5
ridge_teacher_binary,1,1,64,fixed,0.5961500282892952,8,3,9.712494527414073e-06,9.606960625463401e-06,2.8196008075576096e-05,2.7912947196462313e-05,0.027742842181430194,0.0,0.0,1.8483513548162023e-05,0.0,384
ridge_teacher_binary,1,1,64,moving,0.5978828927430196,8,3,0.0,0.0,1.3046549329320811e-05,1.1224997168213235e-05,0.030740905500235227,0.0,0.0,4.406062791040277e-05,0.6666666666666666,2
ridge_teacher_binary,1,1,128,fixed,0.5961500282892952,8,3,8.366263669734586e-06,7.192585130044726e-06,3.457542662732571e-05,3.426826730306143e-05,0.03741085239675557,0.0,0.0,2.7382841497280985e-05,0.0,384
ridge_teacher_binary,1,1,128,moving,0.597375345967672,8,3,0.0,0.0,1.7989125570827547e-05,1.7943154706645536e-05,0.03618553471837882,0.0,0.0,4.4570503097474123e-05,0.3333333333333333,12
ridge_teacher_binary,1,2,8,fixed,0.5961500282892952,7,3,0.08020891174521771,9.04962641512519e-06,0.08433183218184315,0.0674717939766463,0.08433183218184315,0.08251616162943787,0.08251199774742615,0.004122920436625432,0.0,213
ridge_teacher_binary,1,2,8,moving,0.6010513190066379,7,3,2.9154053599045326e-06,0.0,8.63960555508303e-06,8.240340095788668e-06,0.029873094578228288,0.0,0.0,0.00011444553221029441,1.0,0
ridge_teacher_binary,1,2,16,fixed,0.5961500282892952,8,3,9.369068314279971e-06,8.882253947017915e-06,3.73724016100585e-05,3.576643178380134e-05,0.05453529604168039,7.153450720664978e-09,5.722760576531983e-09,2.8830009715763438e-05,0.0,325
ridge_teacher_binary,1,2,16,moving,0.599615762526353,8,3,0.0,0.0,6.828945018466648e-06,6.187875272711807e-06,0.04232567603976867,0.0,0.0,6.63829367612001e-05,1.0,0
ridge_teacher_binary,1,2,32,fixed,0.5961500282892952,8,3,9.479683927504645e-06,8.005186086901261e-06,3.9697468356081345e-05,3.893726944215192e-05,0.04833222124112002,5.331390884322218e-09,4.771741624054471e-09,3.02177844285767e-05,0.0,358
ridge_teacher_binary,1,2,32,moving,0.5986006723948069,8,3,4.982583324930623e-06,0.0,1.9717531356100437e-05,1.8241799525497983e-05,0.04930305576318417,0.0,0.0,3.300943041795179e-05,0.3333333333333333,9
ridge_teacher_binary,1,2,64,fixed,0.5961500282892952,8,3,9.930882946984632e-06,9.924318626564066e-06,3.868558030717395e-05,3.795172092819765e-05,0.04692202410511426,0.0,0.0,3.133503360630563e-05,0.0,360
ridge_teacher_binary,1,2,64,moving,0.5978828927430196,8,3,0.0,0.0,1.0790259373449906e-05,1.0289468196056361e-05,0.04518915965138981,0.0,0.0,2.790556005483058e-05,0.6666666666666666,4
ridge_teacher_binary,1,2,128,fixed,0.5961500282892952,8,3,9.017831300695e-06,8.837958694440928e-06,3.363384236532152e-05,3.3186334384960324e-05,0.03620867019797991,0.0,0.0,2.640254949337617e-05,0.0,376
ridge_teacher_binary,1,2,128,moving,0.597375345967672,8,3,0.0,0.0,1.357233846865924e-05,1.275302579299975e-05,0.03293870687925038,0.0,0.0,2.3804501991020466e-05,0.6666666666666666,2
ridge_teacher_binary,1,3,8,fixed,0.5961500282892952,8,3,8.982369112731092e-06,8.974335011013856e-06,2.8309634081513657e-05,2.7923487181080732e-05,0.039458132966903925,0.08251811623181049,0.08251708880867045,2.01147803836621e-05,0.0,230
ridge_teacher_binary,1,3,8,moving,0.6010513190066379,8,3,5.9291340439582285e-06,8.156297147676739e-07,1.4251581623381249e-05,1.3251604307562559e-05,0.03515948650755518,0.0,0.0,3.025548543367229e-05,0.6666666666666666,3
