dataset,input_dim,replicate,width,level_type,threshold,eligible_models,pairs,sampled_gap_max,sampled_gap_median,path_upper_max,path_upper_q90,direct_upper_max,proof_upper_max,proof_upper_q90,certificate_width_max,certified_success_rate,unresolved_segments
ridge_teacher,2,0,8,fixed,0.023693342832906743,8,3,0.1069678768673501,9.680192421774453e-06,0.10845176702782786,0.086764212776561,0.10845176702782786,0.14017575460863235,0.14016438459777944,0.0014838901604777577,0.0,18
ridge_teacher,2,0,8,moving,0.024678834633991516,8,3,8.958521345033e-06,5.1805244281194485e-06,1.577910783669839e-05,1.4636342818918901e-05,0.07244779064447202,0.13913341275328303,0.13626822790757148,3.404501051476605e-05,0.3333333333333333,6
ridge_teacher,2,0,16,fixed,0.023693342832906743,8,3,9.732645451440702e-06,7.390785375004094e-06,1.4504671520251117e-05,1.4382151982980651e-05,0.08671012200524858,0.0039200822574984966,0.003705467748033914,7.397831804391991e-06,0.0,22
ridge_teacher,2,0,16,moving,0.02426994349156344,8,3,6.287768266052124e-06,0.0,1.2068636416520673e-05,1.1549972693597477e-05,0.0581047825128341,0.003343481598841798,0.0031288670893772153,1.1274538217299207e-05,0.6666666666666666,3
ridge_teacher,2,0,32,fixed,0.023693342832906743,8,3,9.407582159129402e-06,5.6156424889618195e-06,1.346338172866432e-05,1.2970980291821672e-05,0.06054113631084087,0.0,0.0,5.385732055489256e-06,0.3333333333333333,17
ridge_teacher,2,0,32,moving,0.024066275516647983,8,3,1.7428643009458067e-06,0.0,9.563441151817093e-06,9.467217592959431e-06,0.05160021110571465,0.0,0.0,1.344924531846911e-05,1.0,0
ridge_teacher,2,0,64,fixed,0.023693342832906743,8,3,9.449637193639782e-06,7.525823696303419e-06,1.3263492114282821e-05,1.2948797009243451e-05,0.05944799271522359,0.0,0.0,9.564868046870595e-06,0.3333333333333333,23
ridge_teacher,2,0,64,moving,0.02390644007339587,8,3,9.187600887628627e-06,8.297773039383366e-06,1.341175304564804e-05,1.3319078344091462e-05,0.059156938983375956,0.0,0.0,4.650606498481785e-06,0.3333333333333333,10
ridge_teacher,2,0,128,fixed,0.023693342832906743,8,3,9.314692370390038e-06,8.278305608226677e-06,1.5631091817354392e-05,1.536604986071971e-05,0.0563469931727209,0.0,0.0,6.316399446964355e-06,0.0,19
ridge_teacher,2,0,128,moving,0.02380297805490744,8,3,1.7608710384600657e-07,0.0,9.9036812925557e-06,9.832355786155295e-06,0.0562373579507202,0.0,0.0,1.0724727036136306e-05,1.0,0
ridge_teacher,2,1,8,fixed,0.023693342832906743,7,3,0.029733848937825103,9.548827494511997e-06,0.030371069507718895,0.024299739085251203,0.10391633688479796,0.13996745800085947,0.1394752610262327,0.0006372205698937927,0.0,25
ridge_teacher,2,1,8,moving,0.024678834633991516,8,3,2.3361493065865435e-06,1.6288461779159769e-06,9.469796511230033e-06,9.376260979497564e-06,0.058490350241604976,0.1389819661997747,0.13848976922514794,7.582020704978432e-06,1.0,0
ridge_teacher,2,1,16,fixed,0.023693342832906743,8,3,7.998571191658588e-06,6.86987497763511e-06,1.5631699376628116e-05,1.475562673920322e-05,0.07197555692947377,0.00026848703989566444,0.00023919569625674363,7.633128184969529e-06,0.0,15
ridge_teacher,2,1,16,moving,0.02426994349156344,8,3,3.3505499836619657e-06,2.094336228306709e-06,9.708476149415668e-06,9.657772018709099e-06,0.07654381314623969,0.0,0.0,8.051444502426425e-06,1.0,0
ridge_teacher,2,1,32,fixed,0.023693342832906743,8,3,8.41482213715522e-06,7.1149087613325834e-06,1.3492896804918886e-05,1.3135637692800184e-05,0.06113380240417549,0.0,0.0,8.077640162820754e-06,0.3333333333333333,17
ridge_teacher,2,1,32,moving,0.024066275516647983,8,3,5.893114780834013e-06,1.1981982007448766e-06,1.1763406649226149e-05,1.1363837117641523e-05,0.062371727233275734,0.0,0.0,8.610359211447954e-06,0.6666666666666666,3
ridge_teacher,2,1,64,fixed,0.023693342832906743,8,3,7.020203039335288e-06,5.688462347989975e-06,1.2899098426090438e-05,1.257940171208935e-05,0.05371539835197119,0.0,0.0,7.940848472526296e-06,0.3333333333333333,8
ridge_teacher,2,1,64,moving,0.02390644007339587,8,3,9.712544111525195e-06,7.3623323083166214e-06,1.4474546504713443e-05,1.4106290714073488e-05,0.05252860777977278,0.0,0.0,5.6398424981597695e-06,0.3333333333333333,8
ridge_teacher,2,1,128,fixed,0.023693342832906743,8,3,5.5752917057748375e-06,0.0,1.0742082744159831e-05,1.057899944654911e-05,0.05105941292686208,0.0,0.0,1.0585727606225726e-05,0.6666666666666666,4
ridge_teacher,2,1,128,moving,0.02380297805490744,8,3,7.553215563973342e-06,1.2646583954049884e-06,1.4159874953654367e-05,1.3280994008108698e-05,0.059711935067326624,0.0,0.0,1.0062335173689069e-05,0.6666666666666666,6
ridge_teacher,2,2,8,fixed,0.023693342832906743,8,3,9.631499707903057e-06,8.252787677614365e-06,2.282194137063695e-05,2.125385152555448e-05,0.09277061480632184,0.14014356778572554,0.14013931459089232,1.4569153693022585e-05,0.0,39
ridge_teacher,2,2,8,moving,0.024678834633991516,8,3,6.903309675315716e-06,3.5080540474186073e-06,2.9125206686572008e-05,2.5522431599988432e-05,0.09178512300523706,0.13915807598464078,0.138654948748866,5.344317494548889e-05,0.3333333333333333,7
ridge_teacher,2,2,16,fixed,0.023693342832906743,8,3,9.81161501036748e-06,9.10934003366462e-06,1.4132637213559729e-05,1.4128972480959707e-05,0.07940941590225828,0.09862969875472621,0.07890988459470949,6.257260908606316e-06,0.0,31
ridge_teacher,2,2,16,moving,0.02426994349156344,8,3,9.4879238311113e-06,4.986752364773139e-06,1.599796936548048e-05,1.4736133145030334e-05,0.08235982845719016,0.01358419977115952,0.010867359816927616,6.625901674311291e-06,0.6666666666666666,4
ridge_teacher,2,2,32,fixed,0.023693342832906743,8,3,9.818148073180433e-06,7.200493807528463e-06,1.6061670071978312e-05,1.5041088771709788e-05,0.0688015789234796,0.0,0.0,7.80410244069843e-06,0.3333333333333333,17
ridge_teacher,2,2,32,moving,0.024066275516647983,8,3,5.250288579942974e-06,2.0402573067714036e-06,9.535373669041641e-06,9.476494130702256e-06,0.06084012189836557,0.0,0.0,1.1032470503782865e-05,1.0,0
ridge_teacher,2,2,64,fixed,0.023693342832906743,8,3,7.617544485066102e-06,5.976728356608951e-06,1.494873220142176e-05,1.4463260403257961e-05,0.06779649143279681,0.0,0.0,7.331187716355658e-06,0.3333333333333333,16
ridge_teacher,2,2,64,moving,0.02390644007339587,8,3,8.708724723492656e-06,5.40553551275566e-06,1.24692266499013e-05,1.2185450881142117e-05,0.06368035802273106,0.0,0.0,1.058890776501134e-05,0.3333333333333333,9
