input_dim,replicate,width,model_index,threshold,level_tolerance,original_objective,dense_objective,accepted_jitter,support_before,support_after,removed_support,cluster_size,cluster_diameter,compressed_objective,objective_increment,positive_increment,exact_diameter_bound,increment_to_bound,bound_respected
1,0,16,0,0.11745108935533907,1e-05,0.1174510881681033,0.1174510881681033,0.0,16,12,4,5,0.0,0.1174510881681033,0.0,0.0,0.0,0.0,True
1,0,16,1,0.11745108935533907,1e-05,0.11745108834114894,0.11745108834114894,0.0,16,12,4,5,0.0,0.11745108834114894,0.0,0.0,0.0,0.0,True
1,0,16,2,0.11745108935533907,1e-05,0.11745108775077581,0.11745108775077581,0.0,16,12,4,5,0.0,0.11745108775077581,0.0,0.0,0.0,0.0,True
1,0,16,3,0.11745108935533907,1e-05,0.1174510877476016,0.1174510877476016,0.0,16,12,4,5,0.0,0.1174510877476016,0.0,0.0,0.0,0.0,True
1,0,16,5,0.11745108935533907,1e-05,0.11745108779771556,0.11745108779771556,0.0,16,12,4,5,0.0,0.11745108779771556,0.0,0.0,0.0,0.0,True
1,0,16,7,0.11745108935533907,1e-05,0.11745108770255612,0.11745108770255612,0.0,16,12,4,5,0.0,0.11745108770255612,0.0,0.0,0.0,0.0,True
1,0,32,0,0.11745108935533907,1e-05,0.11745108828919631,0.11745108828919629,0.0,32,28,4,5,0.0,0.11745108828919629,0.0,0.0,0.0,0.0,True
1,0,32,1,0.11745108935533907,1e-05,0.11745108794246498,0.11745108794246498,0.0,32,28,4,5,0.0,0.11745108794246498,0.0,0.0,0.0,0.0,True
1,0,32,3,0.11745108935533907,1e-05,0.11745108766602436,0.11745108766602436,0.0,32,28,4,5,0.0,0.11745108766602436,0.0,0.0,0.0,0.0,True
1,0,32,4,0.11745108935533907,1e-05,0.1174510878642361,0.1174510878642361,0.0,32,28,4,5,0.0,0.1174510878642361,0.0,0.0,0.0,0.0,True
1,0,32,5,0.11745108935533907,1e-05,0.11745108785555419,0.11745108785555418,0.0,32,28,4,5,0.0,0.11745108785555419,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,True
1,0,32,7,0.11745108935533907,1e-05,0.11745108766673101,0.11745108766673101,0.0,32,28,4,5,0.0,0.11745108766673101,0.0,0.0,0.0,0.0,True
1,0,64,0,0.11745108935533907,1e-05,0.11745108801690611,0.11745108801690608,0.0,64,60,4,5,0.0,0.11745108801690608,0.0,0.0,0.0,0.0,True
1,0,64,1,0.11745108935533907,1e-05,0.11745108767989276,0.11745108767989274,0.0,64,60,4,5,0.0,0.11745108767989276,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,True
1,0,64,3,0.11745108935533907,1e-05,0.11745108769610013,0.11745108769610013,0.0,64,60,4,5,0.0,0.11745108769610013,0.0,0.0,0.0,0.0,True
1,0,64,4,0.11745108935533907,1e-05,0.11745108768922988,0.1174510876892299,0.0,64,60,4,5,0.0,0.1174510876892299,0.0,0.0,0.0,0.0,True
1,0,64,5,0.11745108935533907,1e-05,0.1174510878569165,0.1174510878569165,0.0,64,60,4,5,0.0,0.1174510878569165,0.0,0.0,0.0,0.0,True
1,0,64,7,0.11745108935533907,1e-05,0.11745108983447734,0.11745108983447734,0.0,64,60,4,5,0.0,0.11745108983447734,0.0,0.0,0.0,0.0,True
1,0,128,0,0.11745108935533907,1e-05,0.11745108796376973,0.11745108796376973,0.0,128,124,4,5,0.0,0.11745108796376973,0.0,0.0,0.0,0.0,True
1,0,128,1,0.11745108935533907,1e-05,0.11745108770211266,0.11745108770211266,0.0,128,124,4,5,0.0,0.11745108770211266,0.0,0.0,0.0,0.0,True
1,0,128,3,0.11745108935533907,1e-05,0.11745108766837477,0.11745108766837477,0.0,128,124,4,5,0.0,0.11745108766837477,0.0,0.0,0.0,0.0,True
1,0,128,4,0.11745108935533907,1e-05,0.11745108773963575,0.11745108773963575,0.0,128,124,4,5,0.0,0.11745108773963575,0.0,0.0,0.0,0.0,True
1,0,128,5,0.11745108935533907,1e-05,0.11745108766563117,0.11745108766563117,0.0,128,124,4,5,0.0,0.11745108766563117,0.0,0.0,0.0,0.0,True
1,0,128,6,0.11745108935533907,1e-05,0.1174510881811519,0.1174510881811519,0.0,128,124,4,5,0.0,0.1174510881811519,0.0,0.0,0.0,0.0,True
1,1,16,0,0.11745108935533907,1e-05,0.11745108796720352,0.11745108796720351,0.0,16,12,4,5,0.0,0.11745108796720352,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,True
