dimension,endpoint,source_width,q,trials,atomic_mass,d_x_squared,base_risk,base_objective,exact_expected_excess,mc_mean_excess,mc_excess_se,mc_mean_linear_term,mc_mean_remainder,smooth_bound,exact_to_bound_ratio,q_scaled_exact,best_objective_excess,max_mass_error,max_support_excess,balance_prediction_error,balance_penalty_error
2,0,256,4,2048,1.0,1.0285419227914487,0.0006188075169127965,0.010618807516912795,0.04326535550358292,0.042881770266186045,0.0007550673041857741,-8.638004706157338e-05,0.04296815031324762,0.1285677403489311,0.3365179739969088,0.1682589869984544,0.0048728403807867,0.0,0,4.440892098500626e-16,1.734723475976807e-18
2,0,256,8,2048,1.0,1.0285419227914487,0.0006188075169127965,0.010618807516912795,0.02163267775179146,0.02197163512810412,0.0004060494415174967,-3.097427402509386e-05,0.02200260940212921,0.06428387017446555,0.3365179739969088,0.1682589869984544,0.0001308563009039046,0.0,0,4.440892098500626e-16,1.734723475976807e-18
2,0,256,16,2048,1.0,1.0285419227914487,0.0006188075169127965,0.010618807516912795,0.01081633887589573,0.010981648721417565,0.00021025233746026375,4.290749302267771e-05,0.010938741228394885,0.03214193508723277,0.3365179739969088,0.1682589869984544,0.00018635631482481654,0.0,0,4.440892098500626e-16,1.734723475976807e-18
2,0,256,32,2048,1.0,1.0285419227914487,0.0006188075169127965,0.010618807516912795,0.005408169437947865,0.005473910929107485,0.00010939351802303457,-9.501103775904832e-06,0.005483412032883389,0.016070967543616387,0.3365179739969088,0.1682589869984544,-0.00023536274635079857,0.0,0,4.440892098500626e-16,1.734723475976807e-18
2,0,256,64,2048,1.0,1.0285419227914487,0.0006188075169127965,0.010618807516912795,0.0027040847189739323,0.0026254643390864205,5.384142523417492e-05,-5.914723807154702e-05,0.002684611577157967,0.008035483771808193,0.3365179739969088,0.1682589869984544,-0.0003454586114599518,0.0,-3,4.440892098500626e-16,1.734723475976807e-18
2,0,256,128,2048,1.0,1.0285419227914487,0.0006188075169127965,0.010618807516912795,0.0013520423594869662,0.0013529805460692924,3.0504290348173253e-05,-1.973997656138436e-05,0.0013727205226306766,0.004017741885904097,0.3365179739969088,0.1682589869984544,-0.00039353677815381975,0.0,-29,4.440892098500626e-16,1.734723475976807e-18
2,1,256,4,2048,1.0,1.0095173955355081,0.0003962410828600791,0.010396241082860079,0.0513699382424833,0.050397166297979926,0.0008285551501391983,5.384401396018313e-06,0.0503917818965839,0.12618967444193852,0.4070851158754615,0.20354255793773074,0.005559257289026723,0.0,0,3.3306690738754696e-16,0.0
2,1,256,8,2048,1.0,1.0095173955355081,0.0003962410828600791,0.010396241082860079,0.02568496912124165,0.025486377497922413,0.0004670145595034392,-9.304775881734699e-05,0.025579425256739757,0.06309483722096926,0.4070851158754615,0.20354255793773074,0.00015209426657334128,0.0,0,3.3306690738754696e-16,0.0
2,1,256,16,2048,1.0,1.0095173955355081,0.0003962410828600791,0.010396241082860079,0.012842484560620825,0.012857362570081896,0.0002399486881885139,1.3504896722400178e-05,0.012843857673359495,0.03154741861048463,0.4070851158754615,0.20354255793773074,0.00012555537568382938,0.0,0,3.3306690738754696e-16,0.0
2,1,256,32,2048,1.0,1.0095173955355081,0.0003962410828600791,0.010396241082860079,0.006421242280310413,0.006335631016798546,0.00012079501066551427,1.2131823007458079e-05,0.006323499193791087,0.015773709305242314,0.4070851158754615,0.20354255793773074,1.9620377950308344e-05,0.0,0,3.3306690738754696e-16,0.0
