dataset,input_dim,replicate,width,models,objective_min,objective_median,objective_q90,active_support_median,l1_norm_median,max_first_layer_norm
ridge_teacher_binary,2,0,8,8,0.15296980600925103,0.15302061647955706,0.15517090706628167,8.0,25.49374282360077,1.0
ridge_teacher_binary,2,0,16,8,0.1528323770229842,0.15323361100362587,0.15437190354011285,16.0,25.753099858760834,1.0
ridge_teacher_binary,2,0,32,8,0.15283321266234684,0.1537787781653149,0.15469133776947055,32.0,25.864315915852785,1.0
ridge_teacher_binary,2,0,64,8,0.15319645431771242,0.15382101971523085,0.15407901856856718,61.5,26.01698929350823,1.0000000000000002
ridge_teacher_binary,2,0,128,8,0.15367889950011682,0.15377909730438313,0.1539558332911597,99.5,26.000657632015646,1.0000000000000002
ridge_teacher_binary,2,1,8,8,0.15317374366362654,0.15402324447000926,0.20748792036135594,8.0,24.55528450012207,1.0
ridge_teacher_binary,2,1,16,8,0.15286298416123753,0.15385477679184473,0.15493595927138862,16.0,25.698661774396896,1.0
ridge_teacher_binary,2,1,32,8,0.15308285138971953,0.15340271928767735,0.15428689092222161,32.0,25.74865558743477,1.0000000000000002
ridge_teacher_binary,2,1,64,8,0.15302312573166837,0.1537996144362841,0.15395462179541822,59.0,26.11151212081313,1.0000000000000002
ridge_teacher_binary,2,1,128,8,0.15305831179944057,0.1537522717000505,0.15384908980648238,100.0,25.98155147768557,1.0000000000000002
ridge_teacher_binary,2,2,8,8,0.15298719908665387,0.15444027310664787,0.2057270101254653,8.0,24.55262988805771,1.0000000000000002
ridge_teacher_binary,2,2,16,8,0.15284143837798317,0.15394116159792634,0.17050757263794314,16.0,25.439438551664352,1.0000000000000002
ridge_teacher_binary,2,2,32,8,0.15286318652429856,0.15363590479617215,0.15396946447661627,32.0,25.891028620302677,1.0000000000000002
ridge_teacher_binary,2,2,64,8,0.15295713955926707,0.15376024553888157,0.15414212103504102,62.0,26.01767416112125,1.0000000000000002
ridge_teacher_binary,2,2,128,8,0.15351640648757586,0.15374588261192584,0.1538653710586053,94.0,26.061539873480797,1.0000000000000002
ridge_teacher_binary,2,3,8,8,0.15298940843403483,0.15422201149053463,0.2099811391019497,8.0,23.99536383152008,1.0
ridge_teacher_binary,2,3,16,8,0.15288346632334995,0.15393350415015494,0.1694751453246596,16.0,25.895280480384827,1.0
ridge_teacher_binary,2,3,32,8,0.15275443677257267,0.1538909749717554,0.15456949581977344,31.0,26.00528448075056,1.0
ridge_teacher_binary,2,3,64,8,0.1534049483319613,0.153842377727636,0.15409649955655008,61.5,26.035972759127617,1.0000000000000002
ridge_teacher_binary,2,3,128,8,0.15341761044992655,0.1537207915359726,0.15397568513175122,96.5,25.998563015833497,1.0000000000000002
ridge_teacher_binary,2,4,8,8,0.15298562106849437,0.18071691398758022,0.2054396028840907,8.0,23.538753867149353,1.0
ridge_teacher_binary,2,4,16,8,0.15283016817145326,0.1535369833786434,0.15447117049205258,16.0,25.830299764871597,1.0
ridge_teacher_binary,2,4,32,8,0.1528081661932712,0.15351993189731616,0.1541945396590036,32.0,25.88040128350258,1.0000000000000002
ridge_teacher_binary,2,4,64,8,0.15291551790969113,0.1539059771237311,0.15522052283712703,61.5,25.96733147278428,1.0000000000000002
ridge_teacher_binary,2,4,128,8,0.15345305066261805,0.15373978741710792,0.15382040948352355,97.5,26.029818089213222,1.0000000000000002
ridge_teacher_binary,2,5,8,8,0.15303993186003717,0.15358884072022594,0.20797414817207302,8.0,24.497168362140656,1.0
ridge_teacher_binary,2,5,16,8,0.15292401272559966,0.15345538083090937,0.1546419060805392,16.0,25.57315795123577,1.0
ridge_teacher_binary,2,5,32,8,0.1532359335456993,0.15374770793198894,0.15396386429253417,32.0,25.93295395374298,1.0000000000000002
ridge_teacher_binary,2,5,64,8,0.1531854363985688,0.1538105184438321,0.15440947104221994,61.0,25.90512591600418,1.0000000000000002
ridge_teacher_binary,2,5,128,8,0.15371696055724238,0.15378490280064738,0.15389538944653414,95.0,26.09692710544914,1.0000000000000002
ridge_teacher_binary,2,6,8,8,0.1531593602243861,0.15372703781564234,0.17168213327461768,8.0,24.828081846237183,1.0000000000000002
ridge_teacher_binary,2,6,16,8,0.15282892763303044,0.1531800345128278,0.15433023350758154,16.0,25.60751575231552,1.0
ridge_teacher_binary,2,6,32,8,0.15291936398774614,0.15345192484363646,0.1544080203988201,32.0,25.872576773166656,1.0000000000000002
ridge_teacher_binary,2,6,64,8,0.15306705703430623,0.15382256108768108,0.15414645064873136,62.0,26.034958697855473,1.0
ridge_teacher_binary,2,6,128,8,0.15318347199450405,0.15374791845327812,0.15377538915837802,97.5,26.064393972512335,1.0000000000000002
ridge_teacher_binary,2,7,8,8,0.15299738854933936,0.153849610314965,0.20509074517028247,8.0,24.779580295085907,1.0
ridge_teacher_binary,2,7,16,8,0.15281037038244538,0.15289571584312975,0.15418312217096108,16.0,25.620261758565903,1.0000000000000002
ridge_teacher_binary,2,7,32,8,0.15279205550982858,0.15311587596976572,0.15390539316589757,32.0,25.778988778591156,1.0
ridge_teacher_binary,2,7,64,8,0.15342808104747488,0.15382743869852183,0.15465086762037447,62.5,25.92138124257326,1.0
ridge_teacher_binary,2,7,128,8,0.1534631116624688,0.15375458676440062,0.1538348039979515,89.5,26.05865398980677,1.0000000000000002
ridge_teacher_binary,2,8,8,8,0.15299688714489995,0.15310095351992153,0.21350467575673915,8.0,25.105569660663605,1.0000000000000002
ridge_teacher_binary,2,8,16,8,0.15303225582949767,0.15358965658270593,0.154816791323084,16.0,25.915289968252182,1.0
ridge_teacher_binary,2,8,32,8,0.15277122216592265,0.15356039403614846,0.15385168871990154,32.0,25.92370507121086,1.0
ridge_teacher_binary,2,8,64,8,0.15358919266233778,0.15381259777723713,0.15404865007550084,60.0,26.04804303869605,1.0000000000000002
ridge_teacher_binary,2,8,128,8,0.1536014472850773,0.1537646592179701,0.1538727105347314,97.0,26.099720521830022,1.0000000000000002
ridge_teacher_binary,2,9,8,8,0.1530025154936012,0.15364073688997396,0.15496381723468652,8.0,25.23578315973282,1.0
ridge_teacher_binary,2,9,16,8,0.15284697643223055,0.15313602836663598,0.15373296709129433,16.0,25.551660045981407,1.0000000000000002
ridge_teacher_binary,2,9,32,8,0.1529398103897723,0.15390276411084053,0.1547982775231919,32.0,25.969465404748917,1.0
ridge_teacher_binary,2,9,64,8,0.15363612462457804,0.15378188301647006,0.1540957787580539,62.0,25.916695564985275,1.0
ridge_teacher_binary,2,9,128,8,0.15366464721349277,0.1537752438254612,0.15386450031146792,91.0,26.052310422994196,1.0000000000000002
