dataset,input_dim,replicate,width,model_index,seed,objective,data_loss,l1_penalty,theta_l1,active_support,max_first_layer_norm,epochs_run,stop_reason,zero_objective
ridge_teacher_binary,4,0,8,0,24261632,0.12924092804084833,0.060934350358353206,0.06830657768249512,34.15328884124756,8,1.0000000000000002,1800,max_epochs,0.6931471805599453
ridge_teacher_binary,4,0,8,1,24261633,0.12693251420911675,0.05512023021634941,0.07181228399276733,35.90614199638367,8,1.0,1800,max_epochs,0.6931471805599453
ridge_teacher_binary,4,0,8,2,24261634,0.12892758504511476,0.05635405913950564,0.07257352590560913,36.286762952804565,8,1.0,1800,max_epochs,0.6931471805599453
ridge_teacher_binary,4,0,8,3,24261635,0.13106728585227895,0.06303484614356922,0.06803243970870972,34.01621985435486,8,1.0,1594,patience,0.6931471805599453
ridge_teacher_binary,4,0,8,4,24261636,0.12903931399886237,0.06038359328810799,0.06865572071075439,34.3278603553772,8,1.0,1800,max_epochs,0.6931471805599453
ridge_teacher_binary,4,0,8,5,24261637,0.12890835895716626,0.056076303865308354,0.07283205509185792,36.416027545928955,8,1.0,1800,max_epochs,0.6931471805599453
ridge_teacher_binary,4,0,8,6,24261638,0.12898905650538026,0.06094113198679504,0.06804792451858521,34.0239622592926,8,1.0,1800,max_epochs,0.6931471805599453
ridge_teacher_binary,4,0,8,7,24261639,0.1291529703534679,0.06160326389442249,0.06754970645904541,33.774853229522705,8,1.0,1800,max_epochs,0.6931471805599453
ridge_teacher_binary,4,0,16,0,24262440,0.1259572422966195,0.051606360004825685,0.07435088229179382,37.17544114589691,16,1.0,1631,patience,0.6931471805599453
ridge_teacher_binary,4,0,16,1,24262441,0.12924716591119162,0.05816586159943932,0.07108130431175232,35.54065215587616,16,1.0,1046,patience,0.6931471805599453
ridge_teacher_binary,4,0,16,2,24262442,0.12800771586299406,0.052540299814944125,0.07546741604804993,37.73370802402496,16,1.0,1736,patience,0.6931471805599453
ridge_teacher_binary,4,0,16,3,24262443,0.1289754278038096,0.05877513545494791,0.0702002923488617,35.10014617443085,16,1.0,908,patience,0.6931471805599453
ridge_teacher_binary,4,0,16,4,24262444,0.1274932166985718,0.05614280123035586,0.07135041546821594,35.67520773410797,16,1.0,1170,patience,0.6931471805599453
ridge_teacher_binary,4,0,16,5,24262445,0.1283172187757588,0.053357189650545166,0.07496002912521363,37.48001456260681,16,1.0,1483,patience,0.6931471805599453
ridge_teacher_binary,4,0,16,6,24262446,0.12874266524841987,0.05691286774208748,0.0718297975063324,35.9148987531662,16,1.0,1038,patience,0.6931471805599453
ridge_teacher_binary,4,0,16,7,24262447,0.12973861332181794,0.06220289201978546,0.06753572130203248,33.767860651016235,16,1.0,1023,patience,0.6931471805599453
ridge_teacher_binary,4,0,32,0,24264056,0.12654639970467885,0.05514094340012868,0.07140545630455017,35.702728152275085,32,1.0,585,patience,0.6931471805599453
ridge_teacher_binary,4,0,32,1,24264057,0.12676676858558666,0.05552909685268412,0.07123767173290253,35.61883586645126,31,1.0,685,patience,0.6931471805599453
ridge_teacher_binary,4,0,32,2,24264058,0.12660225169076852,0.053724494260691924,0.0728777574300766,36.4388787150383,32,1.0,691,patience,0.6931471805599453
ridge_teacher_binary,4,0,32,3,24264059,0.12706973068161093,0.054853864473534464,0.07221586620807648,36.10793310403824,32,1.0,683,patience,0.6931471805599453
ridge_teacher_binary,4,0,32,4,24264060,0.12743711113885417,0.05204572439149393,0.07539138674736023,37.695693373680115,32,1.0000000000000002,1200,patience,0.6931471805599453
ridge_teacher_binary,4,0,32,5,24264061,0.12734535509804246,0.0516833795950746,0.07566197550296784,37.83098775148392,32,1.0,1636,patience,0.6931471805599453
ridge_teacher_binary,4,0,32,6,24264062,0.1264754091420973,0.051363076082786376,0.07511233305931092,37.55616652965546,32,1.0000000000000002,990,patience,0.6931471805599453
ridge_teacher_binary,4,0,32,7,24264063,0.1260294126740359,0.05513761268767344,0.07089179998636246,35.44589999318123,31,1.0,1139,patience,0.6931471805599453
ridge_teacher_binary,4,0,64,0,24267288,0.12490564320737732,0.05092630833143604,0.07397933487594127,36.98966743797064,63,1.0,555,patience,0.6931471805599453
ridge_teacher_binary,4,0,64,1,24267289,0.1255247596397264,0.05146006201647354,0.07406469762325286,37.032348811626434,62,1.0,497,patience,0.6931471805599453
ridge_teacher_binary,4,0,64,2,24267290,0.1252604825119869,0.05051272533791224,0.07474775717407466,37.373878587037325,61,1.0000000000000002,1121,patience,0.6931471805599453
ridge_teacher_binary,4,0,64,3,24267291,0.12529109528271418,0.05259146001545648,0.07269963526725769,36.349817633628845,64,1.0,434,patience,0.6931471805599453
ridge_teacher_binary,4,0,64,4,24267292,0.1255891050697714,0.05247914892448483,0.07310995614528656,36.55497807264328,62,1.0,528,patience,0.6931471805599453
ridge_teacher_binary,4,0,64,5,24267293,0.1256578114206601,0.05165256710598953,0.07400524431467057,37.00262215733528,64,1.0000000000000002,476,patience,0.6931471805599453
ridge_teacher_binary,4,0,64,6,24267294,0.12555393983106786,0.05059264792185001,0.07496129190921784,37.48064595460892,64,1.0000000000000002,602,patience,0.6931471805599453
ridge_teacher_binary,4,0,64,7,24267295,0.12549893272239127,0.05051563245374121,0.07498330026865006,37.49165013432503,63,1.0,1008,patience,0.6931471805599453
ridge_teacher_binary,4,0,128,0,24273752,0.12477488002940595,0.0500025082548666,0.07477237177453935,37.386185887269676,120,1.0,616,patience,0.6931471805599453
ridge_teacher_binary,4,0,128,1,24273753,0.12469907112592601,0.04983555171066665,0.07486351941525936,37.43175970762968,119,1.0000000000000002,613,patience,0.6931471805599453
ridge_teacher_binary,4,0,128,2,24273754,0.12502948559077193,0.05028380084039381,0.07474568475037813,37.372842375189066,115,1.0,678,patience,0.6931471805599453
ridge_teacher_binary,4,0,128,3,24273755,0.1251704433076549,0.05040268340711477,0.07476775990054012,37.38387995027006,120,1.0000000000000002,437,patience,0.6931471805599453
ridge_teacher_binary,4,0,128,4,24273756,0.12517432114880833,0.05014852941621395,0.07502579173259437,37.512895866297185,118,1.0000000000000002,716,patience,0.6931471805599453
ridge_teacher_binary,4,0,128,5,24273757,0.12514494867731493,0.050108116307450955,0.07503683236986398,37.51841618493199,114,1.0000000000000002,815,patience,0.6931471805599453
ridge_teacher_binary,4,0,128,6,24273758,0.12509079415268948,0.050080755985451246,0.07501003816723824,37.50501908361912,113,1.0000000000000002,711,patience,0.6931471805599453
ridge_teacher_binary,4,0,128,7,24273759,0.12551332544423469,0.05047661124802955,0.07503671419620514,37.51835709810257,103,1.0,1068,patience,0.6931471805599453
ridge_teacher_binary,4,1,8,0,24271639,0.12741489495877115,0.05495657863262978,0.07245831632614136,36.22915816307068,8,1.0,1800,max_epochs,0.6931471805599453
ridge_teacher_binary,4,1,8,1,24271640,0.1272088772616769,0.055269472297229894,0.07193940496444702,35.96970248222351,8,1.0,1800,max_epochs,0.6931471805599453
ridge_teacher_binary,4,1,8,2,24271641,0.13404633631560914,0.07021240200851075,0.06383393430709838,31.916967153549194,8,1.0,1800,max_epochs,0.6931471805599453
ridge_teacher_binary,4,1,8,3,24271642,0.13015152090120996,0.060218325310237075,0.0699331955909729,34.96659779548645,8,1.0,1800,max_epochs,0.6931471805599453
ridge_teacher_binary,4,1,8,4,24271643,0.12942054199346137,0.06179315923818183,0.06762738275527955,33.81369137763977,8,1.0,1800,max_epochs,0.6931471805599453
ridge_teacher_binary,4,1,8,5,24271644,0.38324948453083174,0.3366922717012419,0.04655721282958984,23.278606414794922,8,1.0,1800,max_epochs,0.6931471805599453
ridge_teacher_binary,4,1,8,6,24271645,0.12809020502720375,0.056998310877423464,0.07109189414978027,35.54594707489014,8,1.0,1800,max_epochs,0.6931471805599453
ridge_teacher_binary,4,1,8,7,24271646,0.12748253347567817,0.05515291454486151,0.07232961893081666,36.164809465408325,8,1.0,1800,max_epochs,0.6931471805599453
