dataset,input_dim,replicate,width,models,objective_min,objective_median,objective_q90,active_support_median,l1_norm_median,max_first_layer_norm
ridge_teacher_binary,4,0,8,8,0.12693251420911675,0.12901418525212133,0.12978883538427752,8.0,34.24057459831238,1.0000000000000002
ridge_teacher_binary,4,0,16,8,0.1259572422966195,0.12852994201208934,0.1293946001343795,16.0,35.795053243637085,1.0
ridge_teacher_binary,4,0,32,8,0.1260294126740359,0.1266845101381776,0.12737288191028598,32.0,36.27340590953827,1.0000000000000002
ridge_teacher_binary,4,0,64,8,0.12490564320737732,0.12551184618105882,0.125609716975038,63.0,37.01748548448086,1.0000000000000002
ridge_teacher_binary,4,0,128,8,0.12469907112592601,0.1251178714150022,0.12527602243743624,116.5,37.4683893956244,1.0000000000000002
ridge_teacher_binary,4,1,8,8,0.1272088772616769,0.12875537351033256,0.20880728078017588,8.0,35.25627243518829,1.0
ridge_teacher_binary,4,1,16,8,0.12524694245432882,0.12677282066002155,0.12789886494647768,16.0,37.2788188457489,1.0
ridge_teacher_binary,4,1,32,8,0.1254621153257559,0.12636212686019088,0.1268171964608637,32.0,37.4390886425972,1.0000000000000002
ridge_teacher_binary,4,1,64,8,0.12507856014226512,0.12546006787270442,0.12595970757396016,62.5,36.97578404471278,1.0000000000000002
ridge_teacher_binary,4,1,128,8,0.12453848857412644,0.125021008673884,0.12521738337591018,116.5,37.47366903582588,1.0000000000000002
ridge_teacher_binary,4,2,8,8,0.1287917798333793,0.12975570060794833,0.1304179035951889,8.0,35.64428734779358,1.0
ridge_teacher_binary,4,2,16,8,0.1265887588154617,0.1276022272984574,0.12839752402452068,16.0,36.18412858247757,1.0
ridge_teacher_binary,4,2,32,8,0.12550124405090882,0.1261073996644062,0.12722410294341457,32.0,36.925952941179276,1.0
ridge_teacher_binary,4,2,64,8,0.12514694146976676,0.12546778094301525,0.1259677007045688,63.0,37.18659929931164,1.0000000000000002
ridge_teacher_binary,4,2,128,8,0.12462130189067601,0.12519447469834616,0.1253552373391608,117.5,37.45947433775291,1.0000000000000002
ridge_teacher_binary,4,3,8,8,0.12807395696943177,0.13045729986806393,0.13123018109191764,8.0,35.8683260679245,1.0
ridge_teacher_binary,4,3,16,8,0.12617132869292255,0.12819442282340704,0.12938154391502873,16.0,37.215980887413025,1.0000000000000002
ridge_teacher_binary,4,3,32,8,0.1253808020286925,0.1263336045527616,0.12721993202681053,32.0,36.25827166438103,1.0000000000000002
ridge_teacher_binary,4,3,64,8,0.12485848949190481,0.12534405961149925,0.1257204139152619,62.0,37.419076825492084,1.0
ridge_teacher_binary,4,3,128,8,0.12480659135862451,0.12499276955405084,0.12522711065592532,117.0,37.46539474558085,1.0000000000000002
ridge_teacher_binary,4,4,8,8,0.1259064225021738,0.1286414041403109,0.13140350503032738,8.0,34.639906883239746,1.0
ridge_teacher_binary,4,4,16,8,0.12646673225444174,0.12748717239002955,0.1284497332964584,16.0,35.850272834300995,1.0000000000000002
ridge_teacher_binary,4,4,32,8,0.12599875235039004,0.12652060651515223,0.127009724068411,32.0,37.03412166237831,1.0000000000000002
ridge_teacher_binary,4,4,64,8,0.12537321974355484,0.12563687945677943,0.12615154305147364,63.0,37.18240961432457,1.0000000000000002
ridge_teacher_binary,4,4,128,8,0.12460873718094126,0.12501956459935143,0.12511603584010522,115.5,37.39883297076449,1.0000000000000002
ridge_teacher_binary,4,5,8,8,0.12689028350351528,0.1297796891523041,0.1305678924478024,8.0,35.95668864250183,1.0
ridge_teacher_binary,4,5,16,8,0.12653560572929784,0.12740842260644936,0.12838501600188168,16.0,37.34000211954117,1.0
ridge_teacher_binary,4,5,32,8,0.12576660274163998,0.1266914219581318,0.1277016108191901,32.0,37.36828824877739,1.0000000000000002
ridge_teacher_binary,4,5,64,8,0.1248112398604126,0.1253279350193614,0.1255908088890222,62.5,37.37720264494419,1.0000000000000002
ridge_teacher_binary,4,5,128,8,0.12467844001535794,0.1250620265443629,0.1251977810057689,113.0,37.45145847136155,1.0000000000000002
ridge_teacher_binary,4,6,8,8,0.12737894347751974,0.12909328307056187,0.13126874629329077,8.0,35.90791964530945,1.0
ridge_teacher_binary,4,6,16,8,0.12611800971907144,0.1275090802568261,0.12942931832459115,16.0,35.96943837404251,1.0
ridge_teacher_binary,4,6,32,8,0.1259128923392158,0.12648309303521435,0.12697239680874245,32.0,36.31488624215126,1.0000000000000002
ridge_teacher_binary,4,6,64,8,0.12526157463353244,0.12551754349494637,0.12588166592161978,63.5,36.89324480295181,1.0000000000000002
ridge_teacher_binary,4,6,128,8,0.12479835792133043,0.12504558540378233,0.12527864532639707,115.0,37.418308816850185,1.0000000000000002
ridge_teacher_binary,4,7,8,8,0.12665829092154537,0.12929076907705592,0.1315125220378968,8.0,35.47353541851044,1.0
ridge_teacher_binary,4,7,16,8,0.12635170551101538,0.1278367950803554,0.1285381008798054,16.0,35.07031059265137,1.0000000000000002
ridge_teacher_binary,4,7,32,8,0.125368472421664,0.12622311680657589,0.1272875207610902,32.0,37.241886138916016,1.0000000000000002
ridge_teacher_binary,4,7,64,8,0.12515314659186702,0.1255380081070399,0.12610595053316837,62.5,37.415885891299695,1.0000000000000002
ridge_teacher_binary,4,7,128,8,0.12498040256998609,0.12502596834652968,0.12561417073593595,117.5,37.470997016411275,1.0000000000000002
ridge_teacher_binary,4,8,8,8,0.12762505887650127,0.12996189314714907,0.13147429057599755,8.0,34.80960237979889,1.0
ridge_teacher_binary,4,8,16,8,0.12715180013752023,0.12792512157790986,0.1288152619464401,16.0,36.777752339839935,1.0000000000000002
ridge_teacher_binary,4,8,32,8,0.12570408644025896,0.12641816481483323,0.1271250545220049,32.0,37.27333219349384,1.0000000000000002
ridge_teacher_binary,4,8,64,8,0.12530776247086609,0.12547425635271653,0.12559862598692034,62.0,37.38332826923579,1.0000000000000002
ridge_teacher_binary,4,8,128,8,0.12459462154743245,0.12502131325268123,0.12513025444443512,116.5,37.507804297842085,1.0000000000000002
ridge_teacher_binary,4,9,8,8,0.12650802187291357,0.12910013611820886,0.1346615626033157,8.0,34.68676424026489,1.0
ridge_teacher_binary,4,9,16,8,0.1261740592273204,0.12813202964217207,0.1287771575261101,16.0,36.23535589873791,1.0000000000000002
ridge_teacher_binary,4,9,32,8,0.12581346901593765,0.1264551593061678,0.12738985106640904,32.0,37.23412425816059,1.0000000000000002
ridge_teacher_binary,4,9,64,8,0.12497460488513681,0.1254424156117479,0.1257434995070683,62.0,37.39326021075249,1.0000000000000002
ridge_teacher_binary,4,9,128,8,0.1247540048392679,0.1250270017355493,0.12549768521609825,114.0,37.49968655081466,1.0000000000000002
