dataset,input_dim,replicate,width,level_type,threshold,eligible_models,pairs,sampled_gap_max,sampled_gap_median,path_upper_max,path_upper_q90,direct_upper_max,proof_upper_max,proof_upper_q90,certificate_width_max,certified_success_rate,unresolved_segments
ridge_teacher_binary,4,0,8,fixed,0.13106322484514552,8,3,0.02745580672210432,0.0034077043966009024,0.04191041564573875,0.03498669485686665,0.36250788852813076,0.5017431686291358,0.5010569068575231,0.014454608923634427,0.0,181
ridge_teacher_binary,4,0,8,moving,0.13596451556248826,8,3,0.00035848843837141264,0.0001281622490702794,0.0014943825701028424,0.0013727952347301286,0.37265759970317236,0.8138293124869611,0.7497455638003148,0.0011358941317314297,0.0,261
ridge_teacher_binary,4,0,16,fixed,0.13106322484514552,8,3,0.0007038530924220743,1.002122592755339e-05,0.0031225197589863918,0.0025951969576673397,0.17973523323263987,1.010231092961857,0.9616168885060938,0.0024186666665643175,0.0,299
ridge_teacher_binary,4,0,16,moving,0.1325581412664826,8,3,0.0008132831161351828,2.0880228465164352e-05,0.001840121028750391,0.0016700406297896042,0.22420887484252014,1.0087361765405198,0.9601219720847567,0.0010268379126152083,0.0,220
ridge_teacher_binary,4,0,32,fixed,0.13106322484514552,8,3,8.24281004732641e-06,7.170348797796988e-06,0.0006903852070348493,0.0005887166172743819,0.10244335182701772,0.9576368734209597,0.9364661153698273,0.0006832148582370523,0.0,213
ridge_teacher_binary,4,0,32,moving,0.12963558951731669,8,3,0.0016343031700469246,0.0003005656373580856,0.005323883573792237,0.004732126899932998,0.15672565790340948,0.9590645087487886,0.9378937506976561,0.003689580403745313,0.0,261
ridge_teacher_binary,4,0,64,fixed,0.13106322484514552,8,3,7.190148592600698e-06,5.873617739543535e-06,0.00016073625665680158,0.00015700061892700567,0.10866304068315816,0.5032634299996795,0.49568021511314114,0.00016258792057521898,0.0,182
ridge_teacher_binary,4,0,64,moving,0.12765763307029077,8,3,0.004839319976452761,0.004508784600993909,0.012134323608640696,0.011827832195243249,0.14731282459173023,0.10156742126401824,0.10156742126401824,0.008531253738246203,0.0,151
ridge_teacher_binary,4,0,128,fixed,0.13106322484514552,8,3,4.733236756621073e-06,4.683858610826652e-06,0.00028253266120312204,0.0002543977753667492,0.13848692106302293,0.004572190658817532,0.004572190658817532,0.00028851371155258487,0.0,170
ridge_teacher_binary,4,0,128,moving,0.1264866786351228,8,3,0.09977626334875683,0.08379635367405233,0.134903562948899,0.13180928329413188,0.134903562948899,0.0006185600737499408,0.0005764656506931975,0.03563581100101107,0.0,3
ridge_teacher_binary,4,1,8,fixed,0.13106322484514552,6,3,0.262154918050036,0.004079499232073069,0.2998167921826369,0.24135597814529589,0.2998167921826369,0.9327107927355951,0.8960325465507132,0.03766187413260097,0.0,147
ridge_teacher_binary,4,1,8,moving,0.13596451556248826,7,3,0.00010571110718471388,5.559808176180958e-05,0.001276941075709248,0.0011327296066994785,0.2994043476385507,0.9278095020182524,0.9168990362283989,0.0012213429939474385,0.0,223
ridge_teacher_binary,4,1,16,fixed,0.13106322484514552,8,3,0.00023944463307559727,0.00019367192977795544,0.0020356435299651032,0.0019068515358872163,0.15781557250206737,1.092110809502621,1.0454223073330295,0.0018419716001871478,0.0,295
