dataset,input_dim,replicate,width,level_type,threshold,eligible_models,pairs,sampled_gap_max,sampled_gap_median,path_upper_max,path_upper_q90,direct_upper_max,proof_upper_max,proof_upper_q90,certificate_width_max,certified_success_rate,unresolved_segments
ridge_teacher,4,0,8,fixed,0.011981431951708562,8,3,0.09798408147028931,7.172581512660675e-06,0.09930814310806683,0.07944913583690494,0.09930814310806683,0.12266834808440683,0.12248985959783197,0.0013240616377775266,0.3333333333333333,4
ridge_teacher,4,0,8,moving,0.0129648100669282,8,3,7.734363799694055e-06,5.02042793517829e-06,1.4701710029761325e-05,1.4392538353712875e-05,0.09577956855579425,0.13545985694284204,0.13252639106153621,9.681282094583035e-06,0.3333333333333333,6
ridge_teacher,4,0,16,fixed,0.011981431951708562,8,3,6.319528133425303e-06,0.0,1.1394552899958096e-05,1.0803338506865796e-05,0.0810579044313669,0.13644172264151952,0.13350850253515664,1.0892174647577843e-05,0.6666666666666666,3
ridge_teacher,4,0,16,moving,0.011523900333927943,8,3,7.951291118050638e-06,5.836719291186024e-06,1.3526361564991304e-05,1.3408966822400433e-05,0.0802923220275967,0.1223112242872331,0.12223579048345765,1.4644904785523702e-05,0.3333333333333333,9
ridge_teacher,4,0,32,fixed,0.011981431951708562,8,3,9.20531188155875e-06,9.504614466721018e-07,1.512091095113785e-05,1.4015485785849949e-05,0.07085074410470642,3.320298142555668e-05,3.320298142555668e-05,2.368046990075881e-05,0.6666666666666666,4
ridge_teacher,4,0,32,moving,0.011287951923809743,8,3,8.171697483365728e-06,6.239109903601742e-06,1.4273903046042868e-05,1.4228595252258058e-05,0.07817417278662062,0.0007266830093243751,0.0005813464074595001,7.808254173517076e-06,0.3333333333333333,21
ridge_teacher,4,0,64,fixed,0.011981431951708562,8,3,7.809106205833305e-06,6.731707579074597e-07,1.1995096370906802e-05,1.1501017375365602e-05,0.07138621118868727,3.320298142555668e-05,3.320298142555668e-05,1.3878329958029803e-05,0.6666666666666666,4
ridge_teacher,4,0,64,moving,0.011121914090022531,8,3,9.546705877104197e-06,3.1919285129276137e-06,1.6446226451227383e-05,1.5158539772334307e-05,0.07267788795528483,0.0,0.0,9.549846425824585e-06,0.3333333333333333,7
ridge_teacher,4,0,128,fixed,0.011981431951708562,8,3,0.0,0.0,9.488599277119453e-06,9.34019861611006e-06,0.06956611081245397,3.320298142555668e-05,3.320298142555668e-05,2.2154485618652853e-05,1.0,0
ridge_teacher,4,0,128,moving,0.011013441594172132,8,3,3.2618550512442807e-06,1.4451435712721505e-06,9.964690268577867e-06,9.95963948959601e-06,0.07627631732453459,0.0,0.0,1.0749523322613544e-05,1.0,0
ridge_teacher,4,1,8,fixed,0.011981431951708562,8,3,0.060595967246272864,0.0,0.06175965568809835,0.04940963985991071,0.08547171448094797,0.1362350497170551,0.136183746873619,0.001163688441825489,0.6666666666666666,1
ridge_teacher,4,1,8,moving,0.0129648100669282,8,3,0.09848177075883857,0.0,0.09997434970428709,0.07998138411781533,0.09997434970428709,0.13525167160183546,0.13520036875839936,0.0014925789454485056,0.6666666666666666,1
ridge_teacher,4,1,16,fixed,0.011981431951708562,8,3,6.6345059497978365e-06,9.530364204601155e-07,1.6419919273695516e-05,1.5058073065688308e-05,0.08381416990431487,0.13668222352268386,0.13665163086395055,9.78541332389768e-06,0.6666666666666666,4
ridge_teacher,4,1,16,moving,0.011523900333927943,8,3,8.960160319513438e-06,5.985518498405687e-06,1.41829991693182e-05,1.3894684864908594e-05,0.09236927049268356,0.13713975514046448,0.13707373418814728,6.755909148864481e-06,0.3333333333333333,8
ridge_teacher,4,1,32,fixed,0.011981431951708562,8,3,1.973649293430385e-06,0.0,9.272215698970243e-06,9.045475029144032e-06,0.048960661349153486,3.320298142555668e-05,3.320298142555668e-05,2.226042347685739e-05,1.0,0
ridge_teacher,4,1,32,moving,0.011287951923809743,8,3,6.698574421992037e-06,2.890748793886455e-06,1.2686686455622848e-05,1.2138635878493689e-05,0.06864961813301948,0.0,0.0,1.0439728302117507e-05,0.6666666666666666,6
ridge_teacher,4,1,64,fixed,0.011981431951708562,8,3,0.0,0.0,9.72761511335539e-06,9.403367629384415e-06,0.0553698045333777,3.320298142555668e-05,3.320298142555668e-05,2.306090325694503e-05,1.0,0
ridge_teacher,4,1,64,moving,0.011121914090022531,8,3,8.34716970823414e-06,7.783307728307168e-06,1.445758484123344e-05,1.4113839042163498e-05,0.05842200505172958,0.0,0.0,1.082453020799859e-05,0.3333333333333333,9
ridge_teacher,4,1,128,fixed,0.011981431951708562,8,3,0.0,0.0,9.999357659431704e-06,9.794787366623064e-06,0.07178064649790501,3.320298142555668e-05,3.320298142555668e-05,2.0673822980489878e-05,1.0,0
