dataset,input_dim,replicate,width,model_index,seed,objective,data_loss,l1_penalty,theta_l1,active_support,max_first_layer_norm,epochs_run,stop_reason,zero_objective
ridge_teacher,4,0,8,0,24261632,0.010888732504082748,0.0012766822390089716,0.009612050265073776,4.806025132536888,8,1.0,1166,patience,0.13907066674845023
ridge_teacher,4,0,8,1,24261633,0.01093036883378803,0.00130674307847797,0.00962362575531006,4.811812877655029,8,1.0,626,patience,0.13907066674845023
ridge_teacher,4,0,8,2,24261634,0.010909481556606641,0.0012620584680560736,0.009647423088550568,4.823711544275284,8,1.0,1481,patience,0.13907066674845023
ridge_teacher,4,0,8,3,24261635,0.01084316535054147,0.0012476421123594008,0.009595523238182068,4.797761619091034,8,1.0,1259,patience,0.13907066674845023
ridge_teacher,4,0,8,4,24261636,0.010974192496529426,0.0013662825190933609,0.009607909977436066,4.803954988718033,8,1.0,898,patience,0.13907066674845023
ridge_teacher,4,0,8,5,24261637,0.01102115720126141,0.001416772540540585,0.009604384660720826,4.802192330360413,8,1.0,1096,patience,0.13907066674845023
ridge_teacher,4,0,8,6,24261638,0.010872983481519112,0.001260011400811562,0.009612972080707551,4.806486040353775,8,1.0,1249,patience,0.13907066674845023
ridge_teacher,4,0,8,7,24261639,0.010835584810106493,0.0012088171747610336,0.00962676763534546,4.8133838176727295,8,1.0,1281,patience,0.13907066674845023
ridge_teacher,4,0,16,0,24262440,0.010758794272445915,0.0011369184648029771,0.009621875807642937,4.810937903821468,15,1.0,1435,patience,0.13907066674845023
ridge_teacher,4,0,16,1,24262441,0.010857834906997859,0.0012323373274232745,0.009625497579574585,4.8127487897872925,13,1.0,895,patience,0.13907066674845023
ridge_teacher,4,0,16,2,24262442,0.010783042118468368,0.0011575482492829207,0.009625493869185448,4.812746934592724,14,1.0,1097,patience,0.13907066674845023
ridge_teacher,4,0,16,3,24262443,0.010810994961970287,0.0011922483981780584,0.009618746563792229,4.809373281896114,11,1.0,1403,patience,0.13907066674845023
ridge_teacher,4,0,16,4,24262444,0.01080189687711853,0.0011841743360247047,0.009617722541093826,4.808861270546913,14,1.0,701,patience,0.13907066674845023
ridge_teacher,4,0,16,5,24262445,0.010842691275475828,0.0012344427455200813,0.009608248529955746,4.804124264977872,15,1.0,1399,patience,0.13907066674845023
ridge_teacher,4,0,16,6,24262446,0.010786672650710642,0.0011706609715381264,0.009616011679172516,4.808005839586258,14,1.0,1125,patience,0.13907066674845023
ridge_teacher,4,0,16,7,24262447,0.010773602013987811,0.001133237173361095,0.009640364840626716,4.820182420313358,15,1.0,1362,patience,0.13907066674845023
ridge_teacher,4,0,32,0,24264056,0.010785858419978148,0.001113226485692984,0.009672631934285164,4.836315967142582,22,1.0000000000000002,767,patience,0.13907066674845023
ridge_teacher,4,0,32,1,24264057,0.010729670975793228,0.0010780488219746204,0.009651622153818607,4.825811076909304,21,1.0,683,patience,0.13907066674845023
ridge_teacher,4,0,32,2,24264058,0.010758209466246345,0.0011314561956202764,0.009626753270626068,4.813376635313034,26,1.0000000000000002,667,patience,0.13907066674845023
ridge_teacher,4,0,32,3,24264059,0.010792065832428517,0.0011383629177137047,0.009653702914714813,4.826851457357407,18,1.0000000000000002,1018,patience,0.13907066674845023
