dataset,input_dim,replicate,width,model_index,reserve_neurons,support_before,support_after,cluster_size,cluster_diameter,objective_before,objective_after,objective_increase,positive_increase,lemma_upper_increment,bound_respected
ridge_teacher,4,0,8,0,4,8,1,8,1.8161025069029642,0.010888732504082748,0.13329019612514018,0.12240146362105743,0.12240146362105743,3.668472807826647,True
ridge_teacher,4,0,8,1,4,8,1,8,1.8364682581143421,0.01093036883378803,0.13371099693911473,0.1227806281053267,0.1227806281053267,3.6728906344086996,True
ridge_teacher,4,0,8,2,4,8,1,8,1.7962005655634803,0.010909481556606641,0.14853883984860716,0.13762935829200051,0.13762935829200051,3.6819729703811612,True
ridge_teacher,4,0,8,3,4,8,1,8,1.7634211871279573,0.01084316535054147,0.13464978003611539,0.12380661468557391,0.12380661468557391,3.6621652098559254,True
ridge_teacher,4,0,8,4,4,8,1,8,1.809263832637355,0.010974192496529426,0.13324426470572645,0.12227007220919703,0.12227007220919703,3.66689265248032,True
ridge_teacher,4,0,8,5,4,8,1,8,1.8482456596627832,0.01102115720126141,0.14842466700977025,0.13740350980850885,0.13740350980850885,3.6655472029505947,True
ridge_teacher,4,0,8,6,4,8,1,8,1.796013339731438,0.010872983481519112,0.13392019712188535,0.12304721364036625,0.12304721364036625,3.6688246220070844,True
ridge_teacher,4,0,8,7,4,8,1,8,1.8092160228942904,0.010835584810106493,0.1337573376032411,0.12292175279313461,0.12292175279313461,3.674089743980275,True
ridge_teacher,4,0,16,0,4,15,1,15,1.8162895068206342,0.010758794272445915,0.13383512462116104,0.12307633034871512,0.12307633034871512,3.087958955505569,True
ridge_teacher,4,0,16,1,4,13,1,13,1.8007642392509633,0.010857834906997859,0.13375705406141372,0.12289921915441586,0.12289921915441586,3.0891212946684012,True
ridge_teacher,4,0,16,2,4,14,1,14,1.7731304274358697,0.010783042118468368,0.1332022632225789,0.12241922110411052,0.12241922110411052,3.0891201038892233,True
ridge_teacher,4,0,16,3,4,11,11,0,0.0,0.010810994961970287,0.010810994961970287,0.0,0.0,3.086954683909683,True
ridge_teacher,4,0,16,4,4,14,1,14,1.7831503294228055,0.01080189687711853,0.14842315459322808,0.13762125771610956,0.13762125771610956,3.086626043203298,True
ridge_teacher,4,0,16,5,4,15,1,15,1.807852749965638,0.010842691275475828,0.13345795560228377,0.12261526432680794,0.12261526432680794,3.0835855386152886,True
ridge_teacher,4,0,16,6,4,14,1,14,1.816437749255974,0.010786672650710642,0.13295482928168575,0.1221681566309751,0.1221681566309751,3.0860769744461076,True
ridge_teacher,4,0,16,7,4,15,1,15,1.8129797270688506,0.010773602013987811,0.1338753385763694,0.1231017365623816,0.1231017365623816,3.093892660754139,True
ridge_teacher,4,0,32,0,4,22,22,0,0.0,0.010785858419978148,0.010785858419978148,0.0,0.0,2.6103511614394357,True
ridge_teacher,4,0,32,1,4,21,21,0,0.0,0.010729670975793228,0.010729670975793228,0.0,0.0,2.604681256369641,True
ridge_teacher,4,0,32,2,4,26,26,0,0.0,0.010758209466246345,0.010758209466246345,0.0,0.0,2.5979698960525752,True
ridge_teacher,4,0,32,3,4,18,18,0,0.0,0.010792065832428517,0.010792065832428517,0.0,0.0,2.605242790878448,True
ridge_teacher,4,0,32,4,4,24,24,0,0.0,0.010751155582850454,0.010751155582850454,0.0,0.0,2.6118825325484125,True
ridge_teacher,4,0,32,5,4,23,23,0,0.0,0.010755744705234964,0.010755744705234964,0.0,0.0,2.6002638522372554,True
ridge_teacher,4,0,32,6,4,24,24,0,0.0,0.010754558719067232,0.010754558719067232,0.0,0.0,2.5995607583522395,True
ridge_teacher,4,0,32,7,4,21,21,0,0.0,0.010763949745568543,0.010763949745568543,0.0,0.0,2.6008294704506096,True
ridge_teacher,4,0,64,0,4,30,30,0,0.0,0.010761746503757906,0.010761746503757906,0.0,0.0,2.1904684849842355,True
ridge_teacher,4,0,64,1,4,33,33,0,0.0,0.010745839121060642,0.010745839121060642,0.0,0.0,2.1887438120220892,True
ridge_teacher,4,0,64,2,4,33,33,0,0.0,0.010739517160290847,0.010739517160290847,0.0,0.0,2.186382312576825,True
ridge_teacher,4,0,64,3,4,30,30,0,0.0,0.010749066069008422,0.010749066069008422,0.0,0.0,2.187924760967456,True
ridge_teacher,4,0,64,4,4,31,31,0,0.0,0.010746703649482658,0.010746703649482658,0.0,0.0,2.1936191061564774,True
ridge_teacher,4,0,64,5,4,34,34,0,0.0,0.01077015141393324,0.01077015141393324,0.0,0.0,2.1914726903080077,True
ridge_teacher,4,0,64,6,4,29,29,0,0.0,0.010762033795551275,0.010762033795551275,0.0,0.0,2.182768752049496,True
ridge_teacher,4,0,64,7,4,33,33,0,0.0,0.010751711109242884,0.010751711109242884,0.0,0.0,2.187800774016712,True
ridge_teacher,4,0,128,0,4,35,35,0,0.0,0.010781566979224817,0.010781566979224817,0.0,0.0,1.8451846479287906,True
ridge_teacher,4,0,128,1,4,41,41,0,0.0,0.010741502757209467,0.010741502757209467,0.0,0.0,1.842021195479544,True
ridge_teacher,4,0,128,2,4,36,36,0,0.0,0.010768819723546074,0.010768819723546074,0.0,0.0,1.8390615726199633,True
ridge_teacher,4,0,128,3,4,42,42,0,0.0,0.010756069345588856,0.010756069345588856,0.0,0.0,1.8398800545949339,True
ridge_teacher,4,0,128,4,4,38,38,0,0.0,0.010748760353742925,0.010748760353742925,0.0,0.0,1.8425760611859314,True
ridge_teacher,4,0,128,5,4,42,42,0,0.0,0.010755183704508021,0.010755183704508021,0.0,0.0,1.8436869826203233,True
ridge_teacher,4,0,128,6,4,37,37,0,0.0,0.010750091403229635,0.010750091403229635,0.0,0.0,1.8433956057563692,True
ridge_teacher,4,0,128,7,4,41,41,0,0.0,0.01073358672657905,0.01073358672657905,0.0,0.0,1.842367683708994,True
ridge_teacher,4,1,8,0,4,8,1,8,1.815331451635299,0.01092299693121232,0.13397067274958377,0.12304767581837145,0.12304767581837145,3.6664260502649344,True
ridge_teacher,4,1,8,1,4,8,1,8,1.8406035408391823,0.01090920634679501,0.1479599674515832,0.1370507611047882,0.1370507611047882,3.670465981714891,True
ridge_teacher,4,1,8,2,4,8,1,8,1.8064288029642,0.010872660692279792,0.13349743111626844,0.12262477042398864,0.12262477042398864,3.6664873342455433,True
ridge_teacher,4,1,8,3,4,8,1,8,1.834206975316213,0.011010793454969189,0.14794138119644276,0.13693058774147357,0.13693058774147357,3.6654550267481354,True
ridge_teacher,4,1,8,4,4,8,1,8,1.761899441680336,0.010901514399030471,0.13330567721054193,0.12240416281151145,0.12240416281151145,3.661092569582862,True
ridge_teacher,4,1,8,5,4,8,1,8,1.8018724813713634,0.010874872153131475,0.13331528121721634,0.12244040906408486,0.12244040906408486,3.6709376795544992,True
ridge_teacher,4,1,8,6,4,7,1,7,1.7946097237583822,0.010983168877419522,0.14821648166876367,0.13723331279134415,0.13723331279134415,3.669286640435501,True
