dataset,input_dim,replicate,width,level_type,threshold,optimization_proxy,eligible_models,pair_index,model_left,model_right,endpoint_left,endpoint_right,sampled_path_max,certified_path_upper,certificate_width,sampled_gap,certified_gap_upper,direct_sampled_max,direct_certified_upper,direct_certificate_width,direct_certified_gap_upper,proof_node_max,proof_certified_upper,proof_certificate_width,proof_certified_gap_upper,proof_path_nodes,proof_bridge_width,proof_reference_objective,certified_below_level,unresolved_segments,trained_midpoints,path_nodes
ridge_teacher,4,0,8,fixed,0.011981431951708562,0.010835584810106493,8,0,0,7,0.010888732504082748,0.010835584810106493,0.011988604533221222,0.01199453870396587,5.934170744648429e-06,7.172581512660675e-06,1.3106752257309104e-05,0.09299271837461001,0.09436514152307544,0.001372423148465432,0.08238370957136688,0.1337573376032411,0.1337573376032411,0.0,0.12177590565153254,11,4,0.012014634933134118,False,3,15,47
ridge_teacher,4,0,8,fixed,0.011981431951708562,0.010835584810106493,8,1,3,6,0.01084316535054147,0.010872983481519112,0.01198432911236555,0.011991422692104473,7.093579738923217e-06,2.8971606569876823e-06,9.9907403959109e-06,0.03243454564248179,0.03304628263537051,0.0006117369928887173,0.02106485068366195,0.13464978003611539,0.13464978003611539,0.0,0.12266834808440683,11,4,0.012014634933134118,True,0,8,28
ridge_teacher,4,0,8,fixed,0.011981431951708562,0.010835584810106493,8,2,4,1,0.010974192496529426,0.01093036883378803,0.10996551342199787,0.1112895750597754,0.0013240616377775266,0.09798408147028931,0.09930814310806683,0.10996551342199787,0.1112895750597754,0.0013240616377775266,0.09930814310806683,0.13371099693911473,0.13371099693911473,0.0,0.12172956498740617,11,4,0.012014634933134118,False,1,0,2
ridge_teacher,4,0,8,moving,0.0129648100669282,0.010835584810106493,8,0,7,4,0.010835584810106493,0.010974192496529426,0.012972544430727893,0.012977965918577718,5.4214878498250185e-06,7.734363799694055e-06,1.3155851649519074e-05,0.10500062645796666,0.10644337097752564,0.001442744519558975,0.09347856091059745,0.1337573376032411,0.1337573376032411,0.0,0.1207925275363129,11,2,0.024665587825154742,False,2,18,44
ridge_teacher,4,0,8,moving,0.0129648100669282,0.010835584810106493,8,1,6,5,0.010872983481519112,0.01102115720126141,0.012965545591396186,0.012972934417293438,7.388825897252163e-06,7.355244679863732e-07,8.124350365238536e-06,0.05171430963426786,0.05246205380204746,0.0007477441677795973,0.03949724373511926,0.14842466700977025,0.14842466700977025,0.0,0.13545985694284204,11,2,0.024665587825154742,True,0,6,17
ridge_teacher,4,0,8,moving,0.0129648100669282,0.010835584810106493,8,2,1,0,0.01093036883378803,0.010888732504082748,0.012969830494863378,0.01297951177695796,9.681282094583035e-06,5.02042793517829e-06,1.4701710029761325e-05,0.10729237573680188,0.10874437862272245,0.001452002885920567,0.09577956855579425,0.13371099693911473,0.13371099693911473,0.0,0.12074618687218652,11,2,0.024665587825154742,False,4,17,41
ridge_teacher,4,0,16,fixed,0.011981431951708562,0.010739974505286794,8,0,5,3,0.010842691275475828,0.010810994961970287,0.011987751479841987,0.01199282650460852,5.075024766532793e-06,6.319528133425303e-06,1.1394552899958096e-05,0.09165332428908546,0.09303933638307546,0.0013860120939900022,0.0810579044313669,0.13345795560228377,0.13345795560228377,0.0,0.12147652365057521,40,4,0.012014634933134118,False,3,12,37
ridge_teacher,4,0,16,fixed,0.011981431951708562,0.010739974505286794,8,1,0,4,0.010758794272445915,0.01080189687711853,0.011979598461649761,0.011989870432643058,1.0271970993297116e-05,0.0,8.43848093449659e-06,0.07992881786594132,0.08110326380246194,0.0011744459365206211,0.06912183185075338,0.14842315459322808,0.14842315459322808,0.0,0.13644172264151952,11,4,0.012014634933134118,True,0,10,33
ridge_teacher,4,0,16,fixed,0.011981431951708562,0.010739974505286794,8,2,1,2,0.010857834906997859,0.010783042118468368,0.011978306953708157,0.011989199128355735,1.0892174647577843e-05,0.0,7.767176647173121e-06,0.05708678537092245,0.05810315039755806,0.0010163650266356156,0.0461217184458495,0.13375705406141372,0.13375705406141372,0.0,0.12177562210970516,11,4,0.012014634933134118,True,0,9,23
ridge_teacher,4,0,16,moving,0.011523900333927943,0.010739974505286794,8,0,0,3,0.010758794272445915,0.010810994961970287,0.011518481139369159,0.011533126044154683,1.4644904785523702e-05,0.0,9.225710226740125e-06,0.04474150991366868,0.04578804229933732,0.0010465323856686387,0.034264141965409375,0.13383512462116104,0.13383512462116104,0.0,0.1223112242872331,40,2,0.024665587825154742,True,0,9,29
