input_dim,optimization_proxy_m8,optimization_proxy_m128,proxy_relative_decrease,high_width_pairs,proof_zero_gap_fraction,best_path_max_gap,best_path_max_relative_gap,dss_median_gap,direct_median_gap,median_direct_to_dss_ratio,max_compression_to_bound_ratio
1,0.1174510876648598,0.11745108766483539,2.0783995482103285e-13,240,0.9083333333333333,2.337752505465751e-09,1.9904051280385012e-08,9.975902427163119e-06,0.010010706113938436,994.3415114261686,0.08871887977113284
2,0.023544170180673986,0.023544170180673986,0.0,240,0.9,1.599796936548048e-05,0.0006597506939762789,1.049866278318018e-05,0.05209802905167038,4595.111947994728,0.06589835519370778
4,0.010835584810106493,0.01072097372914641,0.010577286133479727,240,0.35833333333333334,1.6583942197863702e-05,0.0014390910817788228,9.631078125317376e-06,0.06028982077261611,6101.033573581139,0.044756028435922884
