dataset,input_dim,replicate,width,level_type,threshold,eligible_models,pairs,sampled_gap_max,sampled_gap_median,path_upper_max,path_upper_q90,direct_upper_max,proof_upper_max,proof_upper_q90,certificate_width_max,certified_success_rate,unresolved_segments
ridge_teacher,1,0,8,fixed,0.11745108935533907,8,3,9.782984574269182e-06,8.37874687063811e-06,1.147724432935815e-05,1.1181421569106398e-05,0.006848340656001664,0.05094554343441546,0.04752981449010244,6.203811194621656e-06,0.6666666666666666,7
ridge_teacher,1,0,8,moving,0.11847565359473951,8,3,0.0,0.0,7.759095741508015e-06,7.57140713625315e-06,0.011766953490290208,0.0,0.0,3.732655195559653e-05,1.0,0
ridge_teacher,1,0,16,fixed,0.11745108935533907,8,3,8.226972517011433e-06,8.008391746777699e-06,1.1225787121621478e-05,1.10830625724756e-05,0.016930986707190038,0.0,0.0,3.3514800066858363e-06,0.3333333333333333,10
ridge_teacher,1,0,16,moving,0.11817556562657543,8,3,4.4734659938872046e-06,2.0431716586666315e-06,9.707057819260956e-06,9.6797230701412e-06,0.017753749203244004,0.0,0.0,2.488801820785258e-05,1.0,0
ridge_teacher,1,0,32,fixed,0.11745108935533907,8,3,9.899964684909057e-06,9.830390344009454e-06,1.4815394570488749e-05,1.4382578433647098e-05,0.01703640457734623,0.0,0.0,4.915429885579692e-06,0.0,50
ridge_teacher,1,0,32,moving,0.11796337142189035,8,3,2.5758929108055106e-06,0.0,9.446400785789733e-06,8.820191182307146e-06,0.011390797235156971,0.0,0.0,1.2836309140409896e-05,1.0,0
ridge_teacher,1,0,64,fixed,0.11745108935533907,8,3,8.881868958143802e-06,7.229072613676446e-06,1.0535680444193063e-05,1.0421949884620307e-05,0.00978046749568881,4.791382707258762e-10,3.83310616580701e-10,4.386449387105973e-06,0.6666666666666666,4
ridge_teacher,1,0,64,moving,0.11781332743665957,8,3,6.021348491147549e-06,4.723663163438974e-06,9.749454642923872e-06,9.70240405405165e-06,0.010805380446114121,0.0,0.0,5.025791479484898e-06,1.0,0
ridge_teacher,1,0,128,fixed,0.11745108935533907,8,3,9.633757016597189e-06,8.957071606363609e-06,1.272953983366687e-05,1.2440523814324923e-05,0.011275688794778749,0.0,0.0,3.095782817069681e-06,0.0,36
ridge_teacher,1,0,128,moving,0.11770723060755967,8,3,9.877530987661975e-06,6.566153898129867e-06,1.2383642494381841e-05,1.1875925796328568e-05,0.012506475605113199,0.0,0.0,1.694234495840108e-05,0.6666666666666666,5
