dataset,input_dim,replicate,width,model_index,seed,objective,data_loss,l1_penalty,theta_l1,active_support,max_first_layer_norm,epochs_run,stop_reason,zero_objective
ridge_teacher,1,0,8,0,21261623,0.11745108767036286,0.11434337395612088,0.0031077137142419818,1.5538568571209908,5,1.0,475,patience,0.14489537310943568
ridge_teacher,1,0,8,1,21261624,0.11745108876723992,0.11434379840988862,0.003107290357351303,1.5536451786756516,6,1.0,408,patience,0.14489537310943568
ridge_teacher,1,0,8,2,21261625,0.11745108781352237,0.11434355435862735,0.0031075334548950197,1.5537667274475098,7,1.0,417,patience,0.14489537310943568
ridge_teacher,1,0,8,3,21261626,0.11745108858585714,0.11434329275131581,0.003107795834541321,1.5538979172706604,5,1.0,440,patience,0.14489537310943568
ridge_teacher,1,0,8,4,21261627,0.11745109071138325,0.11434406890275899,0.0031070218086242675,1.5535109043121338,5,1.0,441,patience,0.14489537310943568
ridge_teacher,1,0,8,5,21261628,0.1174510881811868,0.1143437688261758,0.003107319355010986,1.5536596775054932,7,1.0,397,patience,0.14489537310943568
ridge_teacher,1,0,8,6,21261629,0.11745108822951812,0.11434309724936981,0.0031079909801483155,1.5539954900741577,7,1.0,513,patience,0.14489537310943568
ridge_teacher,1,0,8,7,21261630,0.11745108767469091,0.1143433832289712,0.003107704445719719,1.5538522228598595,5,1.0,471,patience,0.14489537310943568
ridge_teacher,1,0,16,0,21262431,0.1174510881681033,0.11434311271496496,0.0031079754531383513,1.5539877265691757,10,1.0,413,patience,0.14489537310943568
ridge_teacher,1,0,16,1,21262432,0.11745108834114894,0.11434376945552453,0.003107318885624409,1.5536594428122044,8,1.0,428,patience,0.14489537310943568
ridge_teacher,1,0,16,2,21262433,0.11745108775077581,0.11434343207655669,0.0031076556742191314,1.5538278371095657,6,1.0,414,patience,0.14489537310943568
ridge_teacher,1,0,16,3,21262434,0.1174510877476016,0.11434347013094816,0.0031076176166534423,1.5538088083267212,7,1.0,406,patience,0.14489537310943568
ridge_teacher,1,0,16,4,21262435,0.11745108967964961,0.1143429363066466,0.003108153373003006,1.554076686501503,8,1.0,435,patience,0.14489537310943568
ridge_teacher,1,0,16,5,21262436,0.11745108779771556,0.11434359031422366,0.003107497483491898,1.5537487417459488,8,1.0,435,patience,0.14489537310943568
ridge_teacher,1,0,16,6,21262437,0.1174510925538308,0.11434395181158846,0.003107140742242336,1.5535703711211681,8,1.0,424,patience,0.14489537310943568
ridge_teacher,1,0,16,7,21262438,0.11745108770255612,0.11434339599732922,0.0031076917052268982,1.553845852613449,8,1.0,462,patience,0.14489537310943568
ridge_teacher,1,0,32,0,21264047,0.11745108828919631,0.114343671607251,0.003107416681945324,1.553708340972662,11,1.0,445,patience,0.14489537310943568
ridge_teacher,1,0,32,1,21264048,0.11745108794246498,0.11434358961705747,0.003107498325407505,1.5537491627037525,12,1.0,418,patience,0.14489537310943568
ridge_teacher,1,0,32,2,21264049,0.11745108815479453,0.11434370894926961,0.0031073792055249217,1.5536896027624607,13,1.0,414,patience,0.14489537310943568
ridge_teacher,1,0,32,3,21264050,0.11745108766602436,0.11434341055089692,0.003107677115127444,1.5538385575637221,12,1.0,471,patience,0.14489537310943568
ridge_teacher,1,0,32,4,21264051,0.1174510878642361,0.11434356008668349,0.003107527777552605,1.5537638887763023,12,1.0,439,patience,0.14489537310943568
ridge_teacher,1,0,32,5,21264052,0.11745108785555419,0.11434335766062793,0.003107730194926262,1.553865097463131,12,1.0,445,patience,0.14489537310943568
ridge_teacher,1,0,32,6,21264053,0.11745108774080874,0.11434338074699046,0.0031077069938182833,1.5538534969091415,15,1.0,390,patience,0.14489537310943568
