width,percentile,threshold,pair,gap,barrier,hit_max_depth,loss_a_total,loss_b_total,loss_a_data,loss_b_data,loss_a_l1,loss_b_l1
20,pairwise,0.027476631104946136,0,1.862645142292063e-10,0.02747663129121065,True,0.027037769556045532,0.027476631104946136,0.007677837740629911,0.009606292471289635,0.01935993181541562,0.017870338633656502
20,pairwise,0.03175397217273712,1,1.2665987009219393e-09,0.03175397343933582,True,0.03175397217273712,0.029904929921030998,0.0041623725555837154,0.0034451072569936514,0.027591599617153406,0.026459822664037347
20,pairwise,0.027967628091573715,2,0.0,0.027967628091573715,False,0.027337515726685524,0.027967628091573715,0.006335720885545015,0.004728899337351322,0.02100179484114051,0.023238728754222393
20,pairwise,0.03263372182846069,3,0.0,0.03263372182846069,False,0.03263372182846069,0.028212212026119232,0.004857499152421951,0.006623916793614626,0.027776222676038742,0.021588295232504606
20,pairwise,0.02944820374250412,4,2.6007182865606104e-10,0.02944820400257595,True,0.02944820374250412,0.027996040880680084,0.006582208443433046,0.006285731680691242,0.022865995299071074,0.021710309199988842
20,pairwise,0.03023678809404373,5,6.459399685263684e-05,0.03030138209089637,True,0.03017415665090084,0.03023678809404373,0.0047860159538686275,0.0053207362070679665,0.025388140697032213,0.024916051886975765
20,pairwise,0.02757916785776615,6,0.0033377703204751016,0.030916938178241253,True,0.027169670909643173,0.02757916785776615,0.007844888605177402,0.006633537355810404,0.01932478230446577,0.020945630501955748
20,pairwise,0.02870955504477024,7,0.006383250626735393,0.035092805671505634,True,0.026754045858979225,0.02870955504477024,0.006406238302588463,0.00627853674814105,0.020347807556390762,0.02243101829662919
20,pairwise,0.027214501053094864,8,1.2889504429069998e-09,0.027214502342045307,True,0.027214501053094864,0.026813412085175514,0.005090620368719101,0.008573716506361961,0.022123880684375763,0.018239695578813553
20,pairwise,0.027874451130628586,9,9.203344583510326e-06,0.027883654475212096,True,0.027874451130628586,0.026992371305823326,0.0076684495434165,0.005479566752910614,0.020206001587212086,0.021512804552912712
20,pairwise,0.03054698184132576,10,0.0,0.03054698184132576,False,0.02810637466609478,0.03054698184132576,0.007217265199869871,0.005374154541641474,0.02088910946622491,0.025172827299684286
20,pairwise,0.02714749425649643,11,1.171773392706979e-05,0.0271592119904235,True,0.027017867192626,0.02714749425649643,0.006476854905486107,0.008434051647782326,0.020541012287139893,0.018713442608714104
