width,percentile,threshold,pair,gap,barrier,hit_max_depth,loss_a_total,loss_b_total,loss_a_data,loss_b_data,loss_a_l1,loss_b_l1
20,pairwise,0.045301444828510284,0,1.6692578792575075e-05,0.04531813740730286,True,0.045301444828510284,0.04367433488368988,0.041290927678346634,0.03777967393398285,0.0040105171501636505,0.005894660949707031
20,pairwise,0.04563608765602112,1,1.4807949773966433e-05,0.045650895605795085,True,0.04563608765602112,0.042623117566108704,0.04160450026392937,0.03775788098573685,0.004031587392091751,0.004865236580371857
20,pairwise,0.04631417244672775,2,3.3788382994281996e-09,0.04631417582556605,True,0.04631417244672775,0.04361143335700035,0.042372025549411774,0.03854412958025932,0.003942146897315979,0.005067303776741028
20,pairwise,0.056828368455171585,3,1.093180477618888e-05,0.056839300259947774,True,0.056828368455171585,0.05158060044050217,0.05397188663482666,0.04830265790224075,0.002856481820344925,0.0032779425382614136
20,pairwise,0.049809034913778305,4,1.5795230887127865e-09,0.049809036493301394,True,0.04481179639697075,0.049809034913778305,0.03997509926557541,0.04623428359627724,0.00483669713139534,0.003574751317501068
20,pairwise,0.04707054793834686,5,5.516279488802095e-05,0.047125710733234884,True,0.0443650484085083,0.04707054793834686,0.03982655331492424,0.042312201112508774,0.004538495093584061,0.004758346825838089
20,pairwise,0.04683684557676315,6,1.1324882490115762e-09,0.0468368467092514,True,0.04683684557676315,0.044950880110263824,0.04262822866439819,0.04078003391623497,0.00420861691236496,0.004170846194028854
20,pairwise,0.04924473911523819,7,3.0058369040492083e-05,0.04927479748427868,True,0.04924473911523819,0.04609813913702965,0.04547346010804176,0.04216904938220978,0.0037712790071964264,0.00392908975481987
20,pairwise,0.05285753309726715,8,0.0005544063746929159,0.05341193947196007,True,0.049881596118211746,0.05285753309726715,0.04625615105032921,0.049379896372556686,0.003625445067882538,0.0034776367247104645
20,pairwise,0.05232800170779228,9,5.14835118980983e-09,0.05232800685614347,True,0.04754314944148064,0.05232800170779228,0.043354105204343796,0.04900815337896347,0.004189044237136841,0.0033198483288288116
20,pairwise,0.050380971282720566,10,4.2095780333761823e-10,0.05038097170367837,True,0.04833601415157318,0.050380971282720566,0.04433634504675865,0.0472041517496109,0.003999669104814529,0.003176819533109665
20,pairwise,0.04657934978604317,11,3.722496332014824e-09,0.0465793535085395,True,0.045728910714387894,0.04657934978604317,0.04066918417811394,0.04272262006998062,0.005059726536273956,0.0038567297160625458
20,pairwise,0.04583841934800148,12,1.864075660705511e-05,0.045857060104608535,True,0.04583841934800148,0.04327620565891266,0.041478414088487625,0.03785046562552452,0.004360005259513855,0.005425740033388138
20,pairwise,0.054365694522857666,13,1.653470098963994e-07,0.05436585986986756,True,0.050833240151405334,0.054365694522857666,0.047212108969688416,0.051465652883052826,0.003621131181716919,0.00290004163980484
20,pairwise,0.048704445362091064,14,2.8796717524530446e-05,0.048733242079615595,True,0.04560452699661255,0.048704445362091064,0.041419435292482376,0.04528838396072388,0.004185091704130173,0.0034160614013671875
20,pairwise,0.04585255682468414,15,9.08970829160971e-10,0.04585255773365497,True,0.04585255682468414,0.04396975040435791,0.041763149201869965,0.039621684700250626,0.0040894076228141785,0.0043480657041072845
20,pairwise,0.05144893750548363,16,8.534771390258933e-05,0.05153428521938622,True,0.050083935260772705,0.05144893750548363,0.0462045855820179,0.04791632667183876,0.0038793496787548065,0.003532610833644867
20,pairwise,0.04635649919509888,17,1.5050172774699888e-09,0.046356500700116154,True,0.04635649919509888,0.04536662623286247,0.04235314205288887,0.04098798707127571,0.004003357142210007,0.0043786391615867615
20,pairwise,0.04825151711702347,18,6.6721737384811686e-06,0.04825818929076195,True,0.04825151711702347,0.043449047952890396,0.04473097622394562,0.03729329630732536,0.0035205408930778503,0.006155751645565033
20,pairwise,0.04859279841184616,19,1.9371509951682242e-10,0.04859279860556126,True,0.042216405272483826,0.04859279841184616,0.03676335886120796,0.043896034359931946,0.005453046411275864,0.004696764051914215
20,pairwise,0.06274284422397614,20,8.19563861220729e-11,0.06274284430593252,True,0.044910501688718796,0.06274284422397614,0.03975427895784378,0.05991428345441818,0.005156222730875015,0.002828560769557953
20,pairwise,0.04596453160047531,21,2.5325566530218224e-06,0.04596706415712833,True,0.04596453160047531,0.04236718639731407,0.041214775294065475,0.03703078627586365,0.004749756306409836,0.005336400121450424
20,pairwise,0.053007788956165314,22,3.866851332190446e-09,0.053007792823016646,True,0.053007788956165314,0.04821844398975372,0.04960542544722557,0.04462127760052681,0.003402363508939743,0.0035971663892269135
20,pairwise,0.05035007745027542,23,4.625695198774704e-05,0.05039633440226317,True,0.050095416605472565,0.05035007745027542,0.046554092317819595,0.04687852784991264,0.0035413242876529694,0.0034715496003627777
20,pairwise,0.0479426346719265,24,5.731672048571446e-06,0.04794836634397507,True,0.0479426346719265,0.04769432172179222,0.04357726871967316,0.0435139425098896,0.004365365952253342,0.004180379211902618
20,pairwise,0.04823661595582962,25,0.00010801704227924452,0.048344632998108865,True,0.04823661595582962,0.04784803465008736,0.04456784948706627,0.04379836097359657,0.0036687664687633514,0.004049673676490784
20,pairwise,0.04781418666243553,26,6.485117599368262e-05,0.047879037838429214,True,0.04609813913702965,0.04781418666243553,0.04216904938220978,0.043051451444625854,0.00392908975481987,0.004762735217809677
20,pairwise,0.048408932983875275,27,2.980232033378272e-11,0.048408933013677595,True,0.048201363533735275,0.048408932983875275,0.04434613138437271,0.04406164959073067,0.003855232149362564,0.0043472833931446075
20,pairwise,0.04972429946064949,28,5.811452846726795e-10,0.049724300041794775,True,0.04972429946064949,0.044894732534885406,0.04580299183726311,0.04007619246840477,0.003921307623386383,0.004818540066480637
20,pairwise,0.048345573246479034,29,1.6763806315323038e-09,0.048345574922859666,True,0.048345573246479034,0.044085320085287094,0.04448890686035156,0.03834914043545723,0.003856666386127472,0.0057361796498298645
20,pairwise,0.04803307354450226,30,0.00027556759119033714,0.048308641135692595,True,0.04803307354450226,0.04330796003341675,0.04408489167690277,0.03856389969587326,0.003948181867599487,0.0047440603375434875
20,pairwise,0.05430830642580986,31,4.1723251242853365e-10,0.05430830684304237,True,0.04533166438341141,0.05430830642580986,0.04116959124803543,0.05089579522609711,0.0041620731353759766,0.0034125111997127533
20,pairwise,0.05927165225148201,32,1.3113021848920603e-09,0.059271653562784195,True,0.05927165225148201,0.047271791845560074,0.05623691529035568,0.04340796545147896,0.0030347369611263275,0.0038638263940811157
